volatility,underlying_price,strike_price,option_price,delta,gamma,theta,vega,rho
1.2, 43, 50, 18.227, 0.697066, 0.00676781, -0.0262937, 0.150164, 0.117468
1.2, 44, 50, 18.9275, 0.703723, 0.00654773, -0.0266543, 0.152117, 0.120364
1.2, 45, 50, 19.6344, 0.710165, 0.00633727, -0.0270025, 0.153996, 0.12323
1.2, 46, 50, 20.3477, 0.716401, 0.00613591, -0.0273384, 0.155803, 0.126067
1.2, 47, 50, 21.0671, 0.722439, 0.00594313, -0.0276625, 0.157541, 0.128875
1.2, 48, 50, 21.7925, 0.72829, 0.00575849, -0.0279751, 0.159211, 0.131654
1.2, 49, 50, 22.5237, 0.733959, 0.00558156, -0.0282766, 0.160816, 0.134403
1.2, 50, 50, 23.2604, 0.739455, 0.00541192, -0.0285673, 0.162358, 0.137124
1.2, 51, 50, 24.0025, 0.744785, 0.0052492, -0.0288476, 0.163838, 0.139815
1.2, 52, 50, 24.7499, 0.749956, 0.00509305, -0.0291177, 0.165259, 0.142478
1.2, 53, 50, 25.5024, 0.754973, 0.00494313, -0.0293779, 0.166623, 0.145112
1.2, 54, 50, 26.2598, 0.759844, 0.00479913, -0.0296286, 0.167931, 0.147718
1.2, 55, 50, 27.022, 0.764573, 0.00466074, -0.0298701, 0.169185, 0.150295
1.2, 56, 50, 27.7889, 0.769167, 0.00452771, -0.0301026, 0.170387, 0.152845
1.2, 57, 50, 28.5603, 0.773631, 0.00439976, -0.0303263, 0.171538, 0.155366
1.2, 58, 50, 29.3361, 0.777968, 0.00427666, -0.0305417, 0.17264, 0.15786
1.2, 59, 50, 30.1162, 0.782185, 0.00415816, -0.0307488, 0.173695, 0.160327
1.2, 60, 50, 30.9005, 0.786286, 0.00404406, -0.0309481, 0.174703, 0.162767
1.3, 40, 50, 17.5849, 0.697357, 0.00671286, -0.0262774, 0.139628, 0.103094
1.3, 41, 50, 18.2856, 0.703954, 0.00648399, -0.0266821, 0.141695, 0.105765
1.3, 42, 50, 18.9927, 0.710328, 0.00626598, -0.0270739, 0.143691, 0.10841
1.3, 43, 50, 19.7062, 0.716489, 0.00605816, -0.0274533, 0.14562, 0.111029
1.3, 44, 50, 20.4257, 0.722448, 0.00585993, -0.0278205, 0.147483, 0.11362
1.3, 45, 50, 21.151, 0.728212, 0.00567071, -0.0281759, 0.149281, 0.116186
1.3, 46, 50, 21.882, 0.733792, 0.00548997, -0.02852, 0.151018, 0.118724
1.3, 47, 50, 22.6185, 0.739195, 0.00531722, -0.028853, 0.152695, 0.121236
1.3, 48, 50, 23.3603, 0.744429, 0.00515201, -0.0291752, 0.154313, 0.123722
1.3, 49, 50, 24.1073, 0.749501, 0.00499392, -0.0294871, 0.155875, 0.126182
